Time (s),Qgen (W),Qsolar (W),Qalbedo (W),Qplanetshine (W),Qout/rad (W),Qstored (W)
0,17.54,62.11,26.83,20.06,81.18,45.36
10,11.03,53.33,29.28,18.47,96.67,15.44
20,11.34,51.47,15.53,14.23,83.37,9.21
30,18.22,63.45,18.71,15.35,77.58,38.16
40,19.19,55.69,15.47,22.03,72.62,39.76
50,11.18,67.29,16.17,19.67,90.02,24.29
60,19.33,61.04,25.66,23.4,67.62,61.81
70,19.48,62.53,29.91,12.95,60.29,64.58
80,17.22,66.67,15.73,13.58,86.73,26.46
90,13.78,55.35,29.67,16.78,62.18,53.4
100,16.83,60.11,19.22,24.16,80.34,39.98
110,11.42,64.45,18.45,20.7,63.2,51.82
120,11.43,56.3,18.74,13.07,89.13,10.4
130,18.36,61.13,21.7,16.19,85.34,32.03
140,14.53,68.75,27.0,13.26,76.44,47.1
150,19.93,69.19,18.58,22.5,83.89,46.31
160,16.69,67.72,26.92,10.93,69.93,52.33
170,10.01,54.49,16.9,10.71,97.11,-5.0
180,12.68,59.07,20.06,14.59,87.45,18.95
190,10.46,63.31,28.81,24.82,67.66,59.73
200,16.12,67.1,17.39,20.51,82.86,38.26
210,12.43,54.47,26.89,13.86,62.29,45.36
220,10.75,53.45,24.84,15.64,78.96,25.73
230,16.45,66.77,16.14,23.78,63.23,59.91
240,11.03,54.74,16.31,22.16,68.06,36.18
250,11.82,52.9,29.88,21.29,66.02,49.86
260,18.94,59.1,17.22,19.67,88.8,26.13
270,10.17,54.2,21.95,23.47,63.21,46.59
280,18.5,55.16,28.26,22.98,77.55,47.35
290,14.44,62.2,18.61,22.78,88.19,29.83
300,13.13,65.53,22.29,22.15,83.02,40.08
310,15.71,60.46,16.27,22.49,66.42,48.51
320,16.93,50.3,24.04,21.14,71.68,40.72
330,14.32,60.79,22.93,24.3,86.02,36.32
340,15.49,50.73,18.31,22.08,81.9,24.71
350,11.72,56.38,21.21,12.85,84.06,18.1
360,15.7,53.77,25.41,12.34,82.33,24.89
370,11.72,55.83,21.65,20.73,73.04,36.9
380,10.12,58.07,29.47,23.24,89.47,31.43
390,10.58,68.77,18.01,18.96,88.34,27.97
400,14.78,67.84,29.09,16.81,90.73,37.79
410,13.43,60.13,22.84,14.29,99.36,11.33
420,16.94,57.14,17.35,23.32,65.41,49.34
